ID,parity, year-season at birth,TNB,NBA, litter weight at birth
4574,1,315,15,14,17.6
4753,1,315,20,20,21.9
4516,1,315,14,14,17.1
4052,1,315,11,9,14
4013,1,315,10,10,16.1
4504,1,315,10,10,15.5
4095,1,315,18,17,22.7
4010,1,315,11,11,16.1
3976,1,315,17,16,24.1
4273,1,315,21,19,23.3
4435,1,315,15,15,18.2
3347,2,315,21,15,19.2
3404,2,315,16,12,15.3
4529,1,315,13,13,18.9
3827,1,315,13,13,18.6
4221,1,315,9,9,18.5
4410,1,315,15,14,16.2
4355,1,315,14,12,17.8
4366,1,315,15,15,13.1
4568,1,315,9,8,9.9
3915,1,315,17,13,15.6
4020,1,315,12,11,19.1
4426,1,315,20,16,15.6
4033,1,315,18,16,17
4251,1,315,8,8,14.5
4625,1,315,19,18,27.4
4412,1,315,8,8,12.9
4113,1,315,16,13,16.3
4332,1,315,14,14,19.4
4393,1,315,12,12,19.3
4535,1,315,11,11,18.2
4211,1,315,14,13,20.7
4300,1,315,6,6,10.5
4025,1,315,20,15,22.2
3196,1,415,22,13,19.5
3048,2,415,17,12,14.9
4101,1,315,14,9,11.7
4617,1,315,14,9,11.7
4635,1,315,12,10,17.3
4390,1,315,13,13,16.9
4615,1,315,16,15,13.8
3498,2,315,13,13,23.7
4472,1,315,14,13,19.5
4662,1,315,22,20,23.3
4571,1,315,14,12,17.1
4752,1,315,11,11,18.2
4889,1,315,17,16,25
4628,1,315,18,13,18.5
4250,1,315,14,14,15.8
4587,1,315,5,5,6.7
4928,1,315,8,7,10
4756,1,315,15,14,18
4508,1,315,19,19,23.5
4110,1,315,19,18,22.6
4866,1,315,14,13,18.3
4041,1,315,22,21,23.5
4072,1,315,15,15,20.3
4693,1,315,14,12,17.9
4675,1,315,5,5,8.2
4681,1,315,12,12,13.1
4610,1,315,8,8,9.7
4569,1,315,10,10,13.8
4204,1,315,12,11,16.4
4438,1,315,19,16,23.1
4279,1,315,10,10,18.4
4729,1,315,11,10,15.3
4876,1,315,6,5,6.9
3151,3,315,20,15,17.8
3703,2,315,18,16,21
3261,3,315,13,11,17.3
3146,3,315,19,17,17.9
3983,1,315,13,12,20.4
4634,1,315,10,8,9.6
4619,1,315,12,12,16.3
4278,1,315,3,3,5.5
4592,1,315,13,11,15.8
4631,1,315,9,9,16.5
4579,1,315,13,12,15.9
4813,1,315,11,10,13.4
4589,1,315,12,12,16.1
4519,1,315,10,8,12.3
4824,1,315,11,8,11.4
4054,1,315,11,10,17.4
4175,1,315,14,12,14.2
3987,1,315,13,13,21.7
3372,2,315,10,10,18.3
4802,1,315,8,8,11.8
4593,1,315,16,16,23.1
4800,1,315,16,14,15.7
4792,1,315,14,13,17.6
3947,1,315,17,13,16.8
4473,1,315,12,12,16
3629,2,315,16,15,17.5
3934,1,315,17,14,16.3
4622,1,315,7,7,7.8
3941,1,315,16,14,14
4027,1,315,16,15,20.4
3355,2,315,19,12,21.9
3279,3,315,14,12,19.1
4737,1,315,9,8,10.4
4706,1,315,19,18,19.6
4690,1,315,17,14,18.8
4680,1,315,14,10,10.9
4636,1,315,16,13,17
3296,3,315,14,14,23.8
3429,2,315,17,15,20.5
4515,1,315,11,11,12.7
4227,1,315,17,14,21.3
3091,3,315,16,15,22.6
4694,1,315,16,16,26.4
4698,1,315,8,6,8
3283,3,315,18,18,25.4
4713,1,315,8,8,10.1
4730,1,315,14,14,20.9
3171,3,315,16,12,19.9
4164,1,315,14,13,21.4
3327,3,315,13,9,12.7
4216,1,315,5,4,6.3
4692,1,315,11,8,13
4513,1,315,16,16,19.5
3103,3,315,20,15,19.8
3220,3,315,17,16,20.5
4623,1,315,13,12,20.9
3187,3,315,16,13,15.5
3100,3,315,11,11,19.2
3243,3,315,7,7,11.6
4668,1,315,13,11,20
3200,3,315,10,10,13.6
